Metric,Value
design_powergrid__drop__average__net:vssd1__corner:nom_tt_025C_1v80,0.0000618064
design_powergrid__drop__worst__net:vssd1__corner:nom_tt_025C_1v80,0.000547053
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000059599999999999998573536885704271526265074498951435089111328125
ir__drop__worst,0.000488999999999999959872376553704498292063362896442413330078125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
